machineID,k,precision,recall,f1
1,1,1.0,0.3333,0.5
1,3,1.0,1.0,1.0
1,5,0.6,1.0,0.75
2,1,1.0,0.5,0.6667
2,3,0.6667,1.0,0.8
2,5,0.4,1.0,0.5714
3,1,1.0,0.5,0.6667
3,3,0.6667,1.0,0.8
3,5,0.4,1.0,0.5714
4,1,1.0,0.5,0.6667
4,3,0.6667,1.0,0.8
4,5,0.4,1.0,0.5714
5,1,1.0,0.5,0.6667
5,3,0.6667,1.0,0.8
5,5,0.4,1.0,0.5714
6,1,0.0,0.0,0.0
6,3,0.0,0.0,0.0
6,5,0.0,0.0,0.0
7,1,1.0,0.3333,0.5
7,3,0.6667,0.6667,0.6667
7,5,0.6,1.0,0.75
8,1,1.0,0.5,0.6667
8,3,0.6667,1.0,0.8
8,5,0.4,1.0,0.5714
9,1,0.0,0.0,0.0
9,3,0.6667,1.0,0.8
9,5,0.4,1.0,0.5714
10,1,1.0,0.5,0.6667
10,3,0.3333,0.5,0.4
10,5,0.4,1.0,0.5714
11,1,1.0,0.5,0.6667
11,3,0.6667,1.0,0.8
11,5,0.4,1.0,0.5714
12,1,1.0,0.5,0.6667
12,3,0.6667,1.0,0.8
12,5,0.4,1.0,0.5714
13,1,1.0,0.25,0.4
13,3,1.0,0.75,0.8571
13,5,0.8,1.0,0.8889
14,1,1.0,0.5,0.6667
14,3,0.6667,1.0,0.8
14,5,0.4,1.0,0.5714
15,1,1.0,0.3333,0.5
15,3,1.0,1.0,1.0
15,5,0.6,1.0,0.75
16,1,1.0,0.3333,0.5
16,3,1.0,1.0,1.0
16,5,0.6,1.0,0.75
17,1,1.0,0.25,0.4
17,3,1.0,0.75,0.8571
17,5,0.8,1.0,0.8889
18,1,1.0,0.3333,0.5
18,3,0.6667,0.6667,0.6667
18,5,0.6,1.0,0.75
19,1,1.0,0.5,0.6667
19,3,0.6667,1.0,0.8
19,5,0.4,1.0,0.5714
20,1,1.0,0.25,0.4
20,3,1.0,0.75,0.8571
20,5,0.8,1.0,0.8889
21,1,1.0,0.25,0.4
21,3,1.0,0.75,0.8571
21,5,0.8,1.0,0.8889
22,1,1.0,0.25,0.4
22,3,1.0,0.75,0.8571
22,5,0.8,1.0,0.8889
23,1,1.0,0.25,0.4
23,3,1.0,0.75,0.8571
23,5,0.8,1.0,0.8889
24,1,1.0,0.3333,0.5
24,3,0.6667,0.6667,0.6667
24,5,0.6,1.0,0.75
25,1,1.0,0.3333,0.5
25,3,1.0,1.0,1.0
25,5,0.6,1.0,0.75
26,1,1.0,0.5,0.6667
26,3,0.6667,1.0,0.8
26,5,0.4,1.0,0.5714
27,1,1.0,0.5,0.6667
27,3,0.3333,0.5,0.4
27,5,0.4,1.0,0.5714
28,1,1.0,0.5,0.6667
28,3,0.6667,1.0,0.8
28,5,0.4,1.0,0.5714
29,1,1.0,0.5,0.6667
29,3,0.3333,0.5,0.4
29,5,0.4,1.0,0.5714
30,1,1.0,0.5,0.6667
30,3,0.6667,1.0,0.8
30,5,0.4,1.0,0.5714
31,1,1.0,0.3333,0.5
31,3,1.0,1.0,1.0
31,5,0.6,1.0,0.75
32,1,1.0,0.3333,0.5
32,3,1.0,1.0,1.0
32,5,0.6,1.0,0.75
33,1,1.0,0.3333,0.5
33,3,1.0,1.0,1.0
33,5,0.6,1.0,0.75
34,1,0.0,0.0,0.0
34,3,0.3333,0.5,0.4
34,5,0.4,1.0,0.5714
35,1,1.0,0.25,0.4
35,3,1.0,0.75,0.8571
35,5,0.8,1.0,0.8889
36,1,1.0,0.5,0.6667
36,3,0.3333,0.5,0.4
36,5,0.4,1.0,0.5714
37,1,1.0,0.25,0.4
37,3,1.0,0.75,0.8571
37,5,0.8,1.0,0.8889
38,1,1.0,0.3333,0.5
38,3,1.0,1.0,1.0
38,5,0.6,1.0,0.75
39,1,0.0,0.0,0.0
39,3,0.6667,1.0,0.8
39,5,0.4,1.0,0.5714
40,1,1.0,0.3333,0.5
40,3,0.6667,0.6667,0.6667
40,5,0.6,1.0,0.75
41,1,0.0,0.0,0.0
41,3,0.3333,1.0,0.5
41,5,0.2,1.0,0.3333
42,1,1.0,0.3333,0.5
42,3,0.6667,0.6667,0.6667
42,5,0.6,1.0,0.75
43,1,1.0,0.3333,0.5
43,3,1.0,1.0,1.0
43,5,0.6,1.0,0.75
44,1,1.0,0.5,0.6667
44,3,0.6667,1.0,0.8
44,5,0.4,1.0,0.5714
45,1,1.0,0.3333,0.5
45,3,1.0,1.0,1.0
45,5,0.6,1.0,0.75
46,1,0.0,0.0,0.0
46,3,0.3333,1.0,0.5
46,5,0.2,1.0,0.3333
47,1,1.0,0.3333,0.5
47,3,0.6667,0.6667,0.6667
47,5,0.6,1.0,0.75
